Id;R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
4317;D;N'Dicka;Roma;15;5,97;5,87;0;0;0;0;0;0;0;3;0;0
4772;D;Angelino;Roma;5;5,8;5,7;0;0;0;0;0;0;0;1;0;0
6485;D;Kristensen T.;Udinese;8;5,88;6,25;1;0;0;0;0;0;0;0;0;0
5526;D;Scalvini;Atalanta;4;6;6,75;1;0;0;0;0;0;0;0;0;0
5435;D;Moreno Alb.;Como;4;6,38;7;1;0;0;0;0;0;0;1;0;0
7130;D;Folino;Cremonese;3;6,17;7,17;1;0;0;0;0;0;0;0;0;0
7069;D;Fortini;Fiorentina;10;5,9;5,9;0;0;0;0;0;0;0;0;0;0
6814;D;Norton-Cuffy;Genoa;16;5,81;5,94;1;0;0;0;0;0;1;2;1;0
5831;D;Gatti;Juventus;10;5,9;6,05;1;0;0;0;0;0;0;3;0;0
5620;D;Tavares N.;Lazio;8;5,5;5,44;0;0;0;0;0;0;0;1;0;0
5307;D;Valenti;Parma;12;6;5,92;0;0;0;0;0;0;0;2;0;0
7139;D;Canestrelli;Pisa;17;5,74;5,71;0;0;0;0;0;0;0;1;0;0
4374;D;Walukiewicz;Sassuolo;16;5,84;5,75;0;0;0;0;0;0;0;3;0;0
5851;D;Doig;Sassuolo;15;5,87;5,73;0;0;0;0;0;0;0;4;0;0
5010;D;Ismajli;Torino;10;5,9;5,9;0;0;0;0;0;0;1;2;0;0
4385;D;Lazaro;Torino;16;5,78;5,78;0;0;0;0;0;0;1;2;0;0
6426;D;Pedersen;Torino;13;5,85;5,77;0;0;0;0;0;0;0;2;0;0
5820;D;Bertola;Udinese;13;5,88;5,88;0;0;0;0;0;0;1;2;0;0
5555;D;Kamara H.;Udinese;11;5,95;5,95;0;0;0;0;0;0;1;2;0;0
5532;D;Bradaric;Verona;13;5,85;5,81;0;0;0;0;0;0;0;1;0;0
5701;D;Obert;Cagliari;14;5,79;5,64;0;0;0;0;0;0;1;6;0;0
6495;D;Comuzzo;Fiorentina;11;5,77;5,77;0;0;0;0;0;0;0;0;0;0
5885;D;Dodò;Fiorentina;17;5,71;5,71;0;0;0;0;0;0;1;2;0;0
5449;D;Parisi;Fiorentina;9;6;5,94;0;0;0;0;0;0;1;3;0;0
6660;D;Marcandalli;Genoa;11;5,77;5,68;0;0;0;0;0;0;0;2;0;0
6632;D;Gaspar K.;Lecce;15;5,87;5,7;0;0;0;0;0;0;0;5;0;0
6990;D;Veiga D.;Lecce;15;5,8;5,7;0;0;0;0;0;0;0;3;0;0
6531;D;Jimenez A.;Milan;1;5,5;5;0;0;0;0;0;0;0;1;0;0
6986;D;Rensch;Roma;6;6,17;6,17;0;0;0;0;0;0;0;0;0;0
7253;D;Bella-Kotchap;Verona;10;5,85;5,8;0;0;0;0;0;0;0;1;0;0
787;D;Djimsiti;Atalanta;15;5,57;5,53;0;0;0;0;0;0;0;1;0;0
2640;D;Kolasinac;Atalanta;4;6,25;6,12;0;0;0;0;0;0;0;1;0;0
6916;D;Ahanor;Atalanta;8;5,75;5,75;0;0;0;0;0;0;0;0;0;0
7068;D;Vitik;Bologna;6;6;5,92;0;0;0;0;0;0;0;1;0;0
7131;D;Floriani Mussolini;Cremonese;11;5,82;5,73;0;0;0;0;0;0;0;2;0;0
770;D;Pezzella Giu.;Cremonese;12;5,71;5,62;0;0;0;0;0;0;1;4;0;0
5603;D;Pongracic;Fiorentina;15;5,73;5,53;0;0;0;0;0;0;0;6;0;0
